market,future_city_candidate,review_count
Salt Lake,Lehi,5
Salt Lake,Provo,5
Salt Lake,Spanish Fork,5
Salt Lake,Pleasant Grove,4
Salt Lake,Layton,3
Salt Lake,Mapleton,3
Salt Lake,Payson,3
Salt Lake,West Valley City,3
Salt Lake,Bountiful,2
Salt Lake,Cedar Hills,2
Salt Lake,Eagle Mountain,2
Salt Lake,Highland,2
Salt Lake,Ogden,2
Salt Lake,Saratoga Springs,2
Salt Lake,Springville,2
Salt Lake,Taylorsville,2
Salt Lake,Vineyard,2
Salt Lake,Alpine,1
Salt Lake,Clearfield,1
Salt Lake,Grantsville,1
Salt Lake,Hooper,1
Salt Lake,Midvale,1
Salt Lake,Murray,1
Salt Lake,Park City,1
Salt Lake,Riverton,1
Salt Lake,Salem,1
Salt Lake,Sunset,1
Salt Lake,Tooele,1
Salt Lake,West Point,1
